"2022-11-30 22:24:21pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '20' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-l-lightgrey-vnky8c75-20 "," R: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-m-lightgrey-vnky8c75-19"
"2022-11-30 22:24:24pm "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '17' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-xl-teal-vnky8c75-17 "," R: http://localhost/MultiVendor/product-detail/men-white-grey-printed-slim-fit-training-or-gym-pure-cotton-t-shirt-l-lightgrey-vnky8c75-20"
"2022-11-30 22:24:34pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '26' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xl-mustard-vnky8c75-26 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-xl-teal-vnky8c75-17"
"2022-11-30 22:24:36pm "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '25' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xl-mustard-vnky8c75-26"
"2022-11-30 22:24:39pm "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '26' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xl-mustard-vnky8c75-26 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25"
"2022-11-30 22:24:40pm "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '27' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xxl-mustard-vnky8c75-27 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xl-mustard-vnky8c75-26"
"2022-11-30 22:24:52pm "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '24' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-xxl-green-vnky8c75-24 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-xxl-mustard-vnky8c75-27"
"2022-11-30 22:24:54pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-xl-green-vnky8c75-23 "," R: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-xxl-green-vnky8c75-24"
"2022-11-30 22:24:56pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '22' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-l-green-vnky8c75-22 "," R: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-xl-green-vnky8c75-23"
"2022-11-30 22:24:58pm "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-l-green-vnky8c75-22"
