"2022-09-28 03:44:53am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '7', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:45:01am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '6', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=6"
"2022-09-28 03:45:04am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '5', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=5"
"2022-09-28 03:45:17am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '2', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:45:23am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '2' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:45:25am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '5' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:45:28am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '6' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:45:31am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:55:45am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '2', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:55:50am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '2' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
