"2023-01-23 23:14:06pm "," update "," UPDATE product_details SET `view_count` = 64 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:14:07pm "," update "," UPDATE product_details SET `view_count` = 65 WHERE 1=1  and product_id = '142' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-solid-wrap-on-skirt-palazzo-rust-28-vnky8c75-142 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:14:21pm "," update "," UPDATE product_details SET `view_count` = 207 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:14:47pm "," update "," UPDATE product_details SET `view_count` = 208 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:15:03pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = NULL and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2023-01-23 23:15:04pm "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = NULL and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2023-01-23 23:15:05pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = NULL and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2023-01-23 23:15:07pm "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = NULL and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2023-01-23 23:15:11pm "," update "," UPDATE product_details SET `view_count` = 209 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:26:48pm "," update "," UPDATE product_details SET `view_count` = 210 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:27:05pm "," update "," UPDATE product_details SET `view_count` = 74 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:27:33pm "," update "," UPDATE product_details SET `view_count` = 75 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:27:34pm "," update "," UPDATE product_details SET `view_count` = 76 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:27:34pm "," update "," UPDATE product_details SET `view_count` = 77 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:27:35pm "," update "," UPDATE product_details SET `view_count` = 78 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:27:35pm "," update "," UPDATE product_details SET `view_count` = 79 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:27:36pm "," update "," UPDATE product_details SET `view_count` = 80 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:27:37pm "," update "," UPDATE product_details SET `view_count` = 81 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:28:11pm "," update "," UPDATE product_details SET `view_count` = 28 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:28:41pm "," update "," UPDATE product_details SET `view_count` = 29 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:29:36pm "," update "," UPDATE product_details SET `view_count` = 30 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:29:40pm "," update "," UPDATE product_details SET `view_count` = 31 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:29:43pm "," update "," UPDATE product_details SET `view_count` = 32 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:29:49pm "," update "," UPDATE product_details SET `view_count` = 211 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:29:56pm "," update "," UPDATE product_details SET `view_count` = 33 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:30:03pm "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:30:31pm "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:30:32pm "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
