"2022-12-15 02:39:19am "," update "," UPDATE product_details SET `view_count` = 43 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:41:00am "," update "," UPDATE product_details SET `view_count` = 44 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:41:35am "," update "," UPDATE product_details SET `view_count` = 45 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:43:42am "," update "," UPDATE product_details SET `view_count` = 46 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:46:19am "," update "," UPDATE product_details SET `view_count` = 47 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:47:08am "," update "," UPDATE product_details SET `view_count` = 48 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:48:44am "," update "," UPDATE product_details SET `view_count` = 49 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:49:28am "," update "," UPDATE product_details SET `view_count` = 50 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:49:35am "," update "," UPDATE product_details SET `view_count` = 51 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 02:49:48am "," update "," UPDATE product_details SET `view_count` = 52 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
